Marcas,Combustible,Año,Kms,Cv,Provincia,Precio
FORD Puma 1.5 Ecoblue ST-Line 120,Diésel,2021,39.000 km,120 cv,Alicante,22.500 €
CUPRA Born BEV 62KWH 150KW AUTO 5P,Eléctrico,2021,6.950 km,204 cv,Castellón,35.500 €
BMW Serie 1 116d,Diésel,2017,66.397 km,116 cv,Málaga,20.990 €
OPEL Grandland X 1.2T S&S Ultimate Aut. 130,Gasolina,2021,117.000 km,130 cv,Tarragona,21.800 €
CITROEN C5 X Hybrid 225 e-EAT8 Shine,Híbrido,2022,7.690 km,225 cv,Barcelona,32.970 €
FORD Puma 1.0 EcoBoost MHEV ST-Line X 125,Gasolina,2023,10 km,125 cv,Vizcaya,26.900 €
SEAT León 1.0 TSI S&S Style XS 110,Gasolina,2022,500 km,110 cv,Madrid,21.950 €
JEEP Compass 1.6 Mjt Limited 4x2,Diésel,2021,27.000 km,120 cv,Las Palmas,30.900 €
VOLVO V60 Cross Country D4 AWD Aut.,Diésel,2019,37.826 km,190 cv,Guadalajara,37.900 €
LAND-ROVER Discovery 2.5 Td5 E,Diésel,2002,201.000 km,138 cv,Tarragona,7.700 €
KIA Niro E-Niro Drive,Eléctrico,2023,100 km,136 cv,Albacete,42.990 €
TOYOTA C-HR BERLINA CON PORTON 1.8 VVT-I HYBRID ACTIVE AUTO 122 5P.,Híbrido,2022,9.412 km,122 cv,Murcia,25.800 €
KIA Stonic 1.2 CONCEPT 84 5P,Gasolina,2017,50.631 km,84 cv,Asturias,17.900 €
BMW i4 eDrive40,Eléctrico,2023,4.500 km,340 cv,Barcelona,58.900 €
KIA Niro 1.6 HEV Drive,Híbrido,2019,60.000 km,141 cv,Málaga,21.900 €
CITROEN C3 Aircross BlueHDi S&S Shine 110,Diésel,2022,30.443 km,110 cv,Madrid,20.900 €
BMW i4 eDrive40 M Sport,Eléctrico,2023,4.300 km,340 cv,Barcelona,61.900 €
FORD Focus 1.5TDCi Trend+ 120,Diésel,2017,127.177 km,120 cv,Pontevedra,13.990 €
LAMBORGHINI Huracán Spyder EVO,Gasolina,2021,5.020 km,640 cv,Málaga,339.900 €
BMW X3 xDrive 20dA xLine,Diésel,2022,22.000 km,190 cv,Burgos,55.900 €
CITROEN C3 Aircross BlueHDi S&S C-Series 110,Diésel,2020,19.303 km,110 cv,Guipúzcoa,19.900 €
BMW Serie 4 440iA Gran Coupé,Gasolina,2017,69.763 km,326 cv,Córdoba,40.900 €
CITROEN C5 Aircross BlueHDi S&S Shine 130,Diésel,2022,10.100 km,130 cv,Madrid,28.000 €
SMART Fortwo Cabrio Electric Drive,Eléctrico,2019,26.142 km,82 cv,Barcelona,22.500 €
MERCEDES-BENZ Clase E 220 BT Avantgarde Aut.,Diésel,2018,81.000 km,170 cv,Huelva,34.990 €
OPEL Crossland 1.2 110cv GS Line,Gasolina,2021,20.757 km,110 cv,Burgos,18.500 €
PORSCHE Cayman PDK,Gasolina,2020,11.500 km,300 cv,Navarra,75.900 €
FIAT Tipo 1.3 Multijet II Easy,Diésel,2020,35.000 km,95 cv,Las Palmas,14.995 €
BENTLEY Flying Spur V8,Gasolina,2021,29.600 km,549 cv,Barcelona,209.900 €
BMW Z4 sDrive20i Cabrio 145 kW (197 CV),Gasolina,2023,1 km,197 cv,Córdoba,58.990 €
VOLKSWAGEN T-Roc 1.0 TSI Advance 81kW,Gasolina,2021,45.676 km,109 cv,Sevilla,22.900 €
TOYOTA C-HR BERLINA CON PORTON 1.8 VVT-I HYBRID ADVANCE AUTO 122 5P,Híbrido,2022,50.815 km,122 cv,Murcia,26.400 €
CITROEN C4 1.5 BlueHDI S&S Shine EAT8 130,Diésel,2020,31.276 km,130 cv,Cantabria,21.490 €
HYUNDAI i30 1.5 TGDI 48V N Line,Híbrido,2022,4.873 km,160 cv,Madrid,24.590 €
AUDI A3 Sportback 35 TFSI Black line S tronic 110kW,Gasolina,2019,77.000 km,150 cv,Barcelona,24.990 €
OPEL Corsa 1.4 Color Edition 90 (4.75),Gasolina,2018,65.567 km,90 cv,Castellón,11.499 €
HYUNDAI Tucson TODOTERRENO 1.6 TGDI MHEV 110KW MAXX 150 5P,Gasolina,2021,58.260 km,150 cv,Murcia,25.900 €
SEAT León Style Visio Edition GPF (EURO 6d-TEMP) 2018,Gasolina,2020,27.200 km,131 cv,Barcelona,18.800 €
AUDI Q2 ADVANCED 30 TDI  85(116) KW(CV) 6 VEL.,Diésel,2022,24.662 km,116 cv,Murcia,31.000 €
FORD Kuga 1.5 EcoB. Auto S&S Trend 4x2 120,Gasolina,2019,56.603 km,120 cv,Guipúzcoa,19.900 €
KIA Niro 1.6 HEV Drive,Híbrido,2019,63.000 km,141 cv,Málaga,22.500 €
FORD Kuga 1.5 EcoBlue Titanium FWD 120,Diésel,2020,10.278 km,120 cv,Toledo,26.900 €
BMW Serie 5 520dA Efficient Dynamics,Diésel,2019,58.300 km,190 cv,Madrid,33.900 €
FORD S-Max 2.0TDCi Panther Titanium 150,Diésel,2019,92.700 km,150 cv,Madrid,22.900 €
SEAT Ibiza 1.0 TSI S&S Style 95,Gasolina,2018,75.000 km,95 cv,Barcelona,14.900 €
PEUGEOT Rifter 1.5BlueHDi S&S Standard Allure 100,Diésel,2019,71.969 km,100 cv,Guipúzcoa,23.900 €
FIAT 500 500C 1.0 Hybrid Dolcevita 52kW,Gasolina,2021,28.519 km,70 cv,Sevilla,16.500 €
MERCEDES-BENZ Clase B 180 d,Diésel,2016,123.544 km,109 cv,Madrid,19.900 €
FORD Kuga 2.5 Duratec PHEV ST-Line X 4x2,Híbrido Enchufable,2023,6.701 km,225 cv,Vizcaya,40.900 €
HYUNDAI Kona 1.0 TGDI Klass 4x2,Gasolina,2021,78.650 km,120 cv,Murcia,17.500 €
NISSAN Qashqai DIG-T 116kW Xtronic N-Connecta,Gasolina,2022,12.408 km,158 cv,Alicante,30.900 €
SEAT León 1.5 TSI 130CV STYLE XL,Gasolina,2022,8.179 km,130 cv,Murcia,21.500 €
OPEL Astra 1.2T SHL 81kW (110CV) GS Line,Gasolina,2021,30.988 km,110 cv,Madrid,17.495 €
